DateTime,month,TOU_period,TOU_price,lake_ontario_outflow,upstream_level,downstream_level,hydraulic_head,power_MW,energy_kWh,revenue_actual,optimized_flow,optimized_upstream_level,optimized_downstream_level,optimized_head,optimized_power_MW,optimized_energy_kWh,optimized_revenue,flow_diff,power_diff_MW,energy_diff_kWh,revenue_diff,revenue_improvement_pct,feasible
2024-05-07 02:00:00,5,Off-Peak,0.098,285000.0,73.33,46.888,26.442,73780.0099686,73780009.9686,7230440.976922801,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8679.594318867057,-8679594.318867058,-850600.2432489721,-11.764154440424996,True
2024-05-07 03:00:00,5,Off-Peak,0.098,285000.0,73.32,46.894,26.425999999999995,73735.36583579998,73735365.83579999,7226065.8519084,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8634.950186067035,-8634950.186067045,-846225.1182345711,-11.710730784595375,True
2024-05-07 04:00:00,5,Off-Peak,0.098,285000.0,73.31,46.893,26.417,73710.2535111,73710253.51110001,7223604.844087801,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8609.837861367057,-8609837.861367062,-843764.1104139723,-11.680651539301126,True
2024-05-07 05:00:00,5,Off-Peak,0.098,285000.0,73.31,46.883,26.427000000000007,73738.15609410002,73738156.09410003,7226339.297221803,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8637.740444367075,-8637740.44436708,-846498.5635479745,-11.714071658293355,True
2024-05-07 06:00:00,5,Off-Peak,0.098,285000.0,73.3,46.885,26.415,73704.6729945,73704672.9945,7223057.953461,252875.73269413944,73.10426786460246,46.81739240053385,26.29523513297569,65100.415649732946,65100415.64973295,6379840.733673829,-32124.267305860558,-8604.257344767051,-8604257.344767049,-843217.2197871711,-11.673964479035298,True
2024-05-07 07:00:00,5,Mid-Peak,0.157,285000.0,73.3,46.879,26.421,73721.4145443,73721414.5443,11574262.0834551,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,12201998.254276592,16894.150906861643,3998.319559372554,3998319.5593725443,627736.1708214916,5.423552415655188,True
2024-05-07 08:00:00,5,Mid-Peak,0.157,285000.0,73.29,46.878,26.41200000000001,73696.30221960002,73696302.21960002,11570319.448477205,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,12201998.254276592,16894.150906861643,4023.431884072532,4023431.8840725273,631678.8057993874,5.4594759341975125,True
2024-05-07 09:00:00,5,Mid-Peak,0.157,285000.0,73.3,46.879,26.421,73721.4145443,73721414.5443,11574262.0834551,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,12201998.254276592,16894.150906861643,3998.319559372554,3998319.5593725443,627736.1708214916,5.423552415655188,True
2024-05-07 10:00:00,5,Mid-Peak,0.157,285000.0,73.29,46.879,26.41100000000001,73693.51196130001,73693511.96130002,11569881.377924103,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,12201998.254276592,16894.150906861643,4026.2221423725423,4026222.1423725337,632116.876352489,5.4634689475606795,True
2024-05-07 11:00:00,5,On-Peak,0.203,285000.0,73.3,46.876,26.424,73729.7853192,73729785.3192,14967146.4197976,301894.15090686164,73.26009344741057,46.944759910933904,26.29523513297569,77719.73410367256,77719734.10367255,15777106.023045532,16894.150906861643,3989.948784472552,3989948.784472555,809959.6032479331,5.411583347488133,True
